IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
MORGAN,23,Top Laner,South Korea,BRION,2001-09-26,Renekton,K'Sante,Jax,LCK
UMTI,23,Jungler,South Korea,BRION,1999-06-02,Sejuani,Vi,Maokai,LCK
KARIS,23,Mid Laner,South Korea,BRION,2003-05-21,Azir,Akali,Ahri,LCK
HENA,23,Bot Laner,South Korea,BRION,1999-10-08,Aphelios,Zeri,Xayah,LCK
EFFORT,23,Support,South Korea,BRION,2000-11-23,Lulu,Nami,Rakan,LCK
CANNA,23,Top Laner,South Korea,Dplus KIA,2000-02-11,Renekton,K'Sante,Jax,LCK
CANYON,23,Jungler,South Korea,Dplus KIA,2001-06-18,Lee Sin,Sejuani,Maokai,LCK
SHOWMAKER,23,Mid Laner,South Korea,Dplus KIA,2000-07-22,Azir,LeBlanc,Jayce,LCK
DEFT,23,Bot Laner,South Korea,Dplus KIA,1996-10-23,Aphelios,Lucian,Varus,LCK
KELLIN,23,Support,South Korea,Dplus KIA,2001-02-01,Nami,Yuumi,Lulu,LCK
RASCAL,23,Top Laner,South Korea,DRX,1997-10-16,Jax,Renekton,K'Sante,LCK
CROCO,23,Jungler,South Korea,DRX,2000-02-23,Maokai,Sejuani,Vi,LCK
JUHAN,23,Jungler,South Korea,DRX,2001-08-31,Sejuani,Wukong,Lee Sin,LCK
FATE,23,Mid Laner,South Korea,DRX,2000-08-22,Azir,Tristana,Ahri,LCK
DEOKDAM,23,Bot Laner,South Korea,DRX,2000-02-25,Xayah,Zeri,Aphelios,LCK
PLEATA,23,Bot Laner,South Korea,DRX,2003-03-28,Zeri,Rakan,Aphelios,LCK
BERYL,23,Support,South Korea,DRX,1997-04-01,Rell,Rakan,Lulu,LCK
DORAN,23,Top Laner,South Korea,Gen.G,2000-07-22,K'Sante,Jax,Gnar,LCK
PEANUT,23,Jungler,South Korea,Gen.G,1998-02-03,Vi,Maokai,Wukong,LCK
CHOVY,23,Mid Laner,South Korea,Gen.G,2001-03-03,Azir,Ahri,Annie,LCK
PEYZ,23,Bot Laner,South Korea,Gen.G,2005-12-05,Aphelios,Zeri,Xayah,LCK
DELIGHT,23,Support,South Korea,Gen.G,2002-09-12,Rakan,Lulu,Alistar,LCK
KINGEN,23,Top Laner,South Korea,Hanwha Life Esports,2000-03-11,Gnar,K'Sante,Renekton,LCK
CLID,23,Jungler,South Korea,Hanwha Life Esports,1999-07-07,Vi,Sejuani,Wukong,LCK
ZEKA,23,Mid Laner,South Korea,Hanwha Life Esports,2002-11-28,Azir,Yone,Akali,LCK
VIPER,23,Bot Laner,South Korea,Hanwha Life Esports,2000-10-19,Zeri,Kai'Sa,Xayah,LCK
LIFE,23,Support,South Korea,Hanwha Life Esports,2000-07-07,Rakan,Lulu,Rell,LCK
KIIN,23,Top Laner,South Korea,KT Rolster,1999-05-28,Renekton,Jax,K'Sante,LCK
CUZZ,23,Jungler,South Korea,KT Rolster,1999-10-30,Sejuani,Viego,Wukong,LCK
BDD,23,Mid Laner,South Korea,KT Rolster,1999-03-01,Azir,Taliyah,Annie,LCK
AIMING,23,Bot Laner,South Korea,KT Rolster,2000-07-20,Zeri,Kai'Sa,Aphelios,LCK
LEHENDS,23,Support,South Korea,KT Rolster,1998-12-24,Nautilus,Lulu,Rakan,LCK
DUDU,23,Top Laner,South Korea,Kwangdong Freecs,2001-03-08,K'Sante,Renekton,Jax,LCK
YOUNGJAE,23,Jungler,South Korea,Kwangdong Freecs,2002-11-16,Sejuani,Wukong,Maokai,LCK
BULLDOG,23,Mid Laner,South Korea,Kwangdong Freecs,2005-04-15,Azir,Taliyah,Tristana,LCK
TAEYOON,23,Bot Laner,South Korea,Kwangdong Freecs,2002-06-02,Zeri,Kai'Sa,Varus,LCK
JUN,23,Support,South Korea,Kwangdong Freecs,2000-08-02,Karma,Heimerdinger,Lulu,LCK
MOHAM,23,Support,South Korea,Kwangdong Freecs,2002-08-08,Rakan,Lulu,Rell,LCK
BURDOL,23,Top Laner,South Korea,Liiv SANDBOX,2003-12-25,K'Sante,Gnar,Jax,LCK
WILLER,23,Jungler,South Korea,Liiv SANDBOX,2003-04-24,Wukong,Sejuani,Maokai,LCK
CLOZER,23,Mid Laner,South Korea,Liiv SANDBOX,2003-07-27,Azir,Sylas,Ahri,LCK
ENVYY,23,Bot Laner,South Korea,Liiv SANDBOX,2000-04-07,Varus,Aphelios,Lucian,LCK
KAEL,23,Support,South Korea,Liiv SANDBOX,2004-02-11,Nami,Heimerdinger,Leona,LCK
DNDN,23,Top Laner,South Korea,Nongshim RedForce,2003-05-18,K'Sante,Renekton,Jax,LCK
SYLVIE,23,Jungler,South Korea,Nongshim RedForce,2002-12-04,Wukong,Vi,Sejuani,LCK
FIESTA,23,Mid Laner,South Korea,Nongshim RedForce,2003-05-04,Azir,Annie,Akali,LCK
CALLME,23,Mid Laner,South Korea,Nongshim RedForce,2003-05-30,Azir,Ahri,Annie,LCK
VITAL,23,Bot Laner,South Korea,Nongshim RedForce,2002-09-16,Kai'Sa,Xayah,Zeri,LCK
PETER,23,Support,South Korea,Nongshim RedForce,2003-04-28,Rakan,Nautilus,Lulu,LCK
ZEUS,23,Top Laner,South Korea,T1,2004-01-31,Gnar,Aatrox,Jax,LCK
ONER,23,Jungler,South Korea,T1,2002-12-24,Sejuani,Maokai,Vi,LCK
FAKER,23,Mid Laner,South Korea,T1,1996-05-07,Azir,Ahri,Annie,LCK
GUMAYUSI,23,Bot Laner,South Korea,T1,2002-02-06,Xayah,Aphelios,Varus,LCK
KERIA,23,Support,South Korea,T1,2002-10-14,Rakan,Alistar,Nami,LCK
